,HospID,surgyear,total surgery count
1676,219387,2016,772
3071,331649,2011,772
5792,518137,2012,772
7899,663199,2019,772
8765,724136,2015,772
8833,729771,2013,772
8764,724136,2014,771
8766,724136,2016,771
10304,835776,2014,771
9489,775729,2019,770
4927,455644,2017,769
4928,455644,2018,769
11194,904916,2014,769
11955,962319,2015,769
229,118752,2019,768
7356,625540,2016,768
8836,729771,2016,768
6790,588246,2010,766
11956,962319,2016,766
2625,291124,2015,765
4618,434530,2018,764
5616,504879,2016,764
9355,762756,2015,764
6566,572677,2016,762
8849,730871,2019,762
11446,927399,2016,762
9488,775729,2018,761
1706,221364,2016,760
2919,320330,2019,760
6792,588246,2012,760
167,113333,2017,759
4685,442948,2015,759
5610,504879,2010,759
8831,729771,2011,759
9990,813465,2010,759
11582,935752,2012,759
962,179019,2012,757
8452,704007,2012,757
8458,704007,2018,757
9352,762756,2012,757
1382,199251,2012,756
1847,233380,2017,756
8834,729771,2014,756
9359,762756,2019,756
9995,813465,2015,756
964,179019,2014,755
5834,520284,2014,755
8835,729771,2015,755
10614,861281,2014,755
963,179019,2013,754
8316,696808,2016,754
8837,729771,2017,754
9356,762756,2016,754
10613,861281,2013,754
12277,992708,2017,753
3648,369971,2018,752
5467,491146,2017,752
5772,517853,2012,752
6341,555388,2011,752
10145,824948,2015,752
5836,520284,2016,751
10170,828397,2010,751
10171,828397,2011,751
10561,856235,2011,751
1001,181225,2011,750
11917,960603,2017,750
8315,696808,2015,747
1947,238328,2017,746
3517,360975,2017,745
3649,369971,2019,745
11774,947246,2014,744
8457,704007,2017,743
9152,750089,2012,742
9991,813465,2011,742
4925,455644,2015,741
9357,762756,2017,741
9484,775729,2014,740
11119,897724,2019,740
960,179019,2010,739
6972,601236,2012,739
10303,835776,2013,739
10755,871557,2015,739
1247,192850,2017,735
6794,588246,2014,735
968,179019,2018,734
8846,730871,2016,734
9997,813465,2017,734
5465,491146,2015,733
6922,596848,2012,733
2555,283639,2015,732
5771,517853,2011,731
1949,238328,2019,729
9549,779854,2019,728
11916,960603,2016,728
12115,976598,2015,728
8074,680341,2014,727
9470,775049,2010,727
5611,504879,2011,726
8459,704007,2019,726
9483,775729,2013,726
10615,861281,2015,726
8456,704007,2016,725
8832,729771,2012,725
8847,730871,2017,725
9476,775049,2016,725
5791,518137,2011,724
10173,828397,2013,724
12275,992708,2015,723
5476,492643,2016,722
10803,873980,2013,722
1848,233380,2018,721
2553,283639,2013,721
