,surgid,surgyear,total cardiac surgery
8897,333926,2017,314.00
19309,624090,2019,314.00
24114,761543,2014,314.00
26394,816941,2014,314.00
27829,849821,2019,314.00
28026,854373,2016,314.00
28849,876230,2019,314.00
32038,953002,2018,314.00
32504,963826,2014,314.00
2539,164406,2019,313.00
10757,387741,2017,313.00
22701,723357,2011,313.00
26395,816941,2015,313.00
26415,817051,2015,313.00
32036,953002,2016,313.00
69,101555,2019,312.00
10756,387741,2016,312.00
30503,919865,2013,312.00
32030,953002,2010,312.00
735,123508,2015,311.00
3532,193650,2012,311.00
4169,208209,2019,311.00
5691,247717,2011,311.00
10531,382436,2011,311.00
11157,398864,2017,311.00
12752,445095,2012,311.00
12754,445095,2014,311.00
13779,470110,2019,311.00
18159,591956,2019,311.00
19306,624090,2016,311.00
23443,743452,2013,311.00
23580,746032,2010,311.00
29718,897323,2018,311.00
31270,934943,2010,311.00
736,123508,2016,310.00
8519,324240,2019,310.00
10266,372801,2016,310.00
13067,452948,2017,310.00
15918,526994,2018,310.00
15919,526994,2019,310.00
16635,550288,2015,310.00
18157,591956,2017,310.00
22358,711461,2018,310.00
26170,812443,2010,310.00
76,101732,2016,309.00
764,124716,2014,309.00
1007,129527,2017,309.00
3924,201503,2014,309.00
4992,230626,2012,309.00
19305,624090,2015,309.00
22166,705469,2016,309.00
29938,902958,2018,309.00
30366,916708,2016,309.00
32556,964517,2016,309.00
1998,153988,2018,308.00
2164,157153,2014,308.00
2168,157153,2018,308.00
3087,179700,2017,308.00
6463,268179,2013,308.00
9895,363261,2015,308.00
10535,382436,2015,308.00
11268,402607,2018,308.00
18158,591956,2018,308.00
24936,780313,2016,308.00
29961,903728,2011,308.00
75,101732,2015,307.00
367,109864,2017,307.00
3085,179700,2015,307.00
5692,247717,2012,307.00
9671,357631,2011,307.00
10318,374373,2018,307.00
11891,418237,2011,307.00
12092,423846,2012,307.00
21287,677591,2017,307.00
22328,710040,2018,307.00
22930,727829,2010,307.00
26411,817051,2011,307.00
31954,949931,2014,307.00
32507,963826,2017,307.00
2198,158378,2018,306.00
2762,171645,2012,306.00
5695,247717,2015,306.00
6461,268179,2011,306.00
9568,354471,2018,306.00
10268,372801,2018,306.00
12125,424918,2015,306.00
16636,550288,2016,306.00
25609,798003,2019,306.00
29876,902046,2016,306.00
32039,953002,2019,306.00
32506,963826,2016,306.00
77,101732,2017,305.00
2165,157153,2015,305.00
9673,357631,2013,305.00
9917,363514,2017,305.00
22326,710040,2016,305.00
26549,820417,2019,305.00
28495,867219,2015,305.00
29259,884781,2019,305.00
30505,919865,2015,305.00
31693,944522,2013,305.00
32148,955960,2018,305.00
32567,964834,2017,305.00
763,124716,2013,304.00
1327,138447,2017,304.00
2537,164406,2017,304.00
10177,370440,2017,304.00
10184,370595,2014,304.00
13116,453965,2016,304.00
25004,781549,2014,304.00
25210,786846,2010,304.00
28442,865389,2012,304.00
32035,953002,2015,304.00
32553,964517,2013,304.00
32558,964517,2018,304.00
766,124716,2016,303.00
6142,258847,2012,303.00
14278,484346,2018,303.00
24419,769764,2019,303.00
26592,821558,2012,303.00
4004,204500,2014,302.00
13256,457188,2016,302.00
17234,567347,2014,302.00
18132,590647,2012,302.00
18137,590647,2017,302.00
21284,677591,2014,302.00
24110,761543,2010,302.00
25657,798905,2017,302.00
26174,812443,2014,302.00
33593,997636,2013,302.00
6179,259953,2019,301.00
8785,331975,2015,301.00
10175,370440,2015,301.00
12095,423846,2015,301.00
12751,445095,2011,301.00
15139,509439,2019,301.00
17235,567347,2015,301.00
20845,665800,2015,301.00
29962,903728,2012,301.00
30364,916708,2014,301.00
1009,129527,2019,300.00
2169,157153,2019,300.00
7457,294946,2017,300.00
13907,475258,2017,300.00
20737,662709,2017,300.00
26196,812472,2016,300.00
28023,854373,2013,300.00
28024,854373,2014,300.00
33569,997302,2019,300.00
1423,142167,2013,299.00
2670,169827,2010,299.00
5698,247717,2018,299.00
5828,252841,2018,299.00
13524,464560,2014,299.00
14846,501022,2016,299.00
14949,503351,2019,299.00
20732,662709,2012,299.00
21425,683075,2015,299.00
21439,683287,2019,299.00
22603,720252,2013,299.00
24931,780313,2011,299.00
25817,802297,2017,299.00
28848,876230,2018,299.00
31692,944522,2012,299.00
31951,949931,2011,299.00
2761,171645,2011,298.00
4697,220614,2017,298.00
10310,374373,2010,298.00
10533,382436,2013,298.00
12326,430848,2016,298.00
15544,517623,2014,298.00
21539,686314,2019,298.00
24937,780313,2017,298.00
27173,833179,2013,298.00
30369,916708,2019,298.00
1733,148155,2013,297.00
2538,164406,2018,297.00
5663,247376,2013,297.00
12129,424918,2019,297.00
13909,475258,2019,297.00
17647,577639,2017,297.00
20441,655378,2011,297.00
21437,683287,2017,297.00
21695,691029,2015,297.00
23641,746939,2011,297.00
23960,758230,2010,297.00
23962,758230,2012,297.00
24933,780313,2013,297.00
26621,821980,2011,297.00
980,129342,2010,296.00
981,129342,2011,296.00
5305,237064,2015,296.00
5363,237792,2013,296.00
8831,332715,2011,296.00
12514,437343,2014,296.00
21051,671896,2011,296.00
22248,706380,2018,296.00
29877,902046,2017,296.00
31369,937146,2019,296.00
32250,957518,2010,296.00
32258,957518,2018,296.00
733,123508,2013,295.00
1328,138447,2018,295.00
2161,157153,2011,295.00
2163,157153,2013,295.00
2166,157153,2016,295.00
5166,234290,2016,295.00
7823,302232,2013,295.00
9489,351541,2019,295.00
12091,423846,2011,295.00
13492,463913,2012,295.00
15466,515630,2016,295.00
20846,665800,2016,295.00
20947,668023,2017,295.00
24259,764843,2019,295.00
32505,963826,2015,295.00
814,125557,2014,294.00
10532,382436,2012,294.00
11111,397601,2011,294.00
11150,398864,2010,294.00
14982,505095,2012,294.00
14983,505095,2013,294.00
20085,642218,2015,294.00
22869,725098,2019,294.00
33588,997435,2018,294.00
9676,357631,2016,293.00
13068,452948,2018,293.00
17349,569645,2019,293.00
18131,590647,2011,293.00
18677,608669,2017,293.00
20086,642218,2016,293.00
22225,706328,2015,293.00
23963,758230,2013,293.00
24897,779759,2017,293.00
25656,798905,2016,293.00
26197,812472,2017,293.00
28955,877959,2015,293.00
765,124716,2015,292.00
2532,164406,2012,292.00
8273,314417,2013,292.00
12100,424192,2010,292.00
13962,477116,2012,292.00
14847,501022,2017,292.00
20736,662709,2016,292.00
20847,665800,2017,292.00
24115,761543,2015,292.00
25307,789052,2017,292.00
26175,812443,2015,292.00
27828,849821,2018,292.00
27918,851599,2018,292.00
29717,897323,2017,292.00
29878,902046,2018,292.00
29960,903728,2010,292.00
32256,957518,2016,292.00
983,129342,2013,291.00
3922,201503,2012,291.00
14275,484346,2015,291.00
15540,517623,2010,291.00
19307,624090,2017,291.00
21770,693452,2010,291.00
28609,870387,2019,291.00
29507,889794,2017,291.00
31690,944522,2010,291.00
33357,992952,2017,291.00
225,106307,2015,290.00
4348,211331,2018,290.00
6141,258847,2011,290.00
10311,374373,2011,290.00
12097,423846,2017,290.00
25676,799514,2016,290.00
27172,833179,2012,290.00
30675,921962,2015,290.00
31323,935737,2013,290.00
32374,959528,2014,290.00
1424,142167,2014,289.00
2536,164406,2016,289.00
5165,234290,2015,289.00
8890,333926,2010,289.00
11890,418237,2010,289.00
12513,437343,2013,289.00
13606,467085,2016,289.00
15542,517623,2012,289.00
16637,550288,2017,289.00
26590,821558,2010,289.00
28956,877959,2016,289.00
29874,902046,2014,289.00
3086,179700,2016,288.00
4003,204500,2013,288.00
4733,222013,2013,288.00
9267,345578,2017,288.00
13258,457188,2018,288.00
15059,507773,2019,288.00
20738,662709,2018,288.00
20848,665800,2018,288.00
20849,665800,2019,288.00
22161,705469,2011,288.00
30474,919726,2014,288.00
31324,935737,2014,288.00
1686,146859,2016,287.00
4839,224646,2019,287.00
5164,234290,2014,287.00
9899,363261,2019,287.00
10269,372801,2019,287.00
13963,477116,2013,287.00
19308,624090,2018,287.00
22163,705469,2013,287.00
24112,761543,2012,287.00
27917,851599,2017,287.00
31766,945942,2016,287.00
33592,997636,2012,287.00
11895,418237,2015,286.00
21538,686314,2018,286.00
23618,746145,2018,286.00
24938,780313,2018,286.00
25816,802297,2016,286.00
28601,870387,2011,286.00
30363,916708,2013,286.00
31326,935737,2016,286.00
72,101732,2012,285.00
982,129342,2012,285.00
3963,203328,2013,285.00
4349,211331,2019,285.00
10501,380729,2011,285.00
11159,398864,2019,285.00
13496,463913,2016,285.00
15317,512644,2017,285.00
24111,761543,2011,285.00
24930,780313,2010,285.00
27171,833179,2011,285.00
27718,847101,2018,285.00
1002,129527,2012,284.00
1429,142167,2019,284.00
2012,154590,2012,284.00
3319,185916,2019,284.00
5694,247717,2014,284.00
6140,258847,2010,284.00
6144,258847,2014,284.00
6146,258847,2016,284.00
9569,354471,2019,284.00
10537,382436,2017,284.00
15546,517623,2016,284.00
17239,567347,2019,284.00
26176,812443,2016,284.00
26620,821980,2010,284.00
27043,829061,2013,284.00
32837,977404,2017,284.00
2694,169870,2014,283.00
4137,207845,2017,283.00
4929,226491,2019,283.00
15460,515630,2010,283.00
15917,526994,2017,283.00
18138,590647,2018,283.00
20739,662709,2019,283.00
20844,665800,2014,283.00
22226,706328,2016,283.00
27916,851599,2016,283.00
29879,902046,2019,283.00
29933,902958,2013,283.00
29939,902958,2019,283.00
30603,921517,2013,283.00
1324,138447,2014,282.00
2535,164406,2015,282.00
4627,220141,2017,282.00
4830,224646,2010,282.00
4997,230626,2017,282.00
5696,247717,2016,282.00
7824,302232,2014,282.00
8833,332715,2013,282.00
13906,475258,2016,282.00
14276,484346,2016,282.00
16634,550288,2014,282.00
19488,627684,2018,282.00
22271,707133,2011,282.00
26193,812472,2013,282.00
27716,847101,2016,282.00
28856,876420,2016,282.00
29936,902958,2016,282.00
31953,949931,2013,282.00
1001,129527,2011,281.00
5804,252758,2014,281.00
7962,306287,2012,281.00
8892,333926,2012,281.00
9720,358589,2010,281.00
13493,463913,2013,281.00
14272,484346,2012,281.00
15549,517623,2019,281.00
20735,662709,2015,281.00
22352,711461,2012,281.00
24143,762270,2013,281.00
25639,798451,2019,281.00
31765,945942,2015,281.00
32373,959528,2013,281.00
32554,964517,2014,281.00
1004,129527,2014,280.00
1372,140478,2012,280.00
2534,164406,2014,280.00
7456,294946,2016,280.00
11997,420728,2017,280.00
12098,423846,2018,280.00
17201,566963,2011,280.00
21787,693750,2017,280.00
23964,758230,2014,280.00
24932,780313,2012,280.00
5995,255372,2015,279.00
6613,271286,2013,279.00
8787,331975,2017,279.00
13065,452948,2015,279.00
13069,452948,2019,279.00
13251,457188,2011,279.00
13607,467085,2017,279.00
13961,477116,2011,279.00
13964,477116,2014,279.00
17237,567347,2017,279.00
25982,807016,2012,279.00
27615,844770,2015,279.00
30605,921517,2015,279.00
238,106606,2018,278.00
3961,203328,2011,278.00
3964,203328,2014,278.00
4283,210424,2013,278.00
5999,255372,2019,278.00
11898,418237,2018,278.00
18156,591956,2016,278.00
22247,706380,2017,278.00
25636,798451,2016,278.00
30676,921962,2016,278.00
33373,993644,2013,278.00
3356,186940,2016,277.00
3920,201503,2010,277.00
5668,247376,2018,277.00
10060,366576,2010,277.00
10509,380729,2019,277.00
13159,455727,2019,277.00
13522,464560,2012,277.00
14981,505095,2011,277.00
17200,566963,2010,277.00
17236,567347,2016,277.00
18135,590647,2015,277.00
19447,626874,2017,277.00
19724,632872,2014,277.00
22162,705469,2012,277.00
22357,711461,2017,277.00
26177,812443,2017,277.00
26593,821558,2013,277.00
29799,900130,2019,277.00
31764,945942,2014,277.00
32956,981504,2016,277.00
33371,993644,2011,277.00
33568,997302,2018,277.00
2693,169870,2013,276.00
9898,363261,2018,276.00
10172,370440,2012,276.00
12096,423846,2016,276.00
12124,424918,2014,276.00
13928,475871,2018,276.00
14946,503351,2016,276.00
15541,517623,2011,276.00
18676,608669,2016,276.00
18779,611059,2019,276.00
22601,720252,2011,276.00
28022,854373,2012,276.00
32143,955960,2013,276.00
32371,959528,2011,276.00
33586,997435,2016,276.00
2013,154590,2013,275.00
2160,157153,2010,275.00
7825,302232,2015,275.00
8830,332715,2010,275.00
10500,380729,2010,275.00
11943,419258,2013,275.00
12099,423846,2019,275.00
13259,457188,2019,275.00
14947,503351,2017,275.00
17238,567347,2018,275.00
20948,668023,2018,275.00
21756,692907,2016,275.00
22224,706328,2014,275.00
23583,746032,2013,275.00
25308,789052,2018,275.00
27179,833179,2019,275.00
32559,964517,2019,275.00
33268,990390,2018,275.00
33370,993644,2010,275.00
33374,993644,2014,275.00
1684,146859,2014,274.00
5065,232128,2015,274.00
5697,247717,2017,274.00
7961,306287,2011,274.00
8527,324249,2017,274.00
10173,370440,2013,274.00
14849,501022,2019,274.00
17700,579624,2010,274.00
21534,686314,2014,274.00
21755,692907,2015,274.00
23448,743452,2018,274.00
31088,930855,2018,274.00
79,101732,2019,273.00
2010,154590,2010,273.00
2695,169870,2015,273.00
3355,186940,2015,273.00
3965,203328,2015,273.00
6145,258847,2015,273.00
6612,271286,2012,273.00
6886,278873,2016,273.00
8896,333926,2016,273.00
9897,363261,2017,273.00
