,SiteID,total,count_First,count_Reop,Complics_First,Complics_Reop,PredMM_First_avg,PredMM_Reoperation_avg,total_year_avg,Year_avg_Firstop,Year_avg_reop,Complics_First_rate,Complics_Reop_rate,observe/expected_First,observe/expected_Reop,log_First,log_Reoperation
80,164777,1127,1045,82.0,357,40.0,13.256602870813403,23.754390243902435,204.4,192.1,12.3,34.162679425837325,48.78048780487805,2.5770312167268807,2.053535675048515,1.3657100133109554,1.0381100107542747
81,164860,3113,2942,171.0,1003,56.0,12.670543847722659,19.487426900584797,178.3,164.9,13.4,34.0924541128484,32.748538011695906,2.69068593444598,1.6804957462451422,1.4279740047799039,0.7488868908287143
82,165468,1694,1645,49.0,598,24.0,12.859720364741628,22.7734693877551,26.777777777777782,25.88888888888889,0.8888888888888888,36.35258358662614,48.97959183673469,2.8268564599815478,2.1507303521820953,1.499198628931277,1.1048266582080577
83,166100,2362,2263,99.0,1103,49.0,14.114131683605828,16.470808080808084,159.9,146.7,13.2,48.74060980998674,49.494949494949495,3.4533197579983654,3.005010394882896,1.7879839258276617,1.5873699814922233
84,166224,601,564,37.0,222,14.0,14.203617021276605,20.98297297297298,319.3,287.2,32.1,39.361702127659576,37.83783783783784,2.7712449630750315,1.8032639076728874,1.4705342428992483,0.8506105506410496
85,168015,757,711,46.0,409,33.0,13.536075949367085,16.381086956521735,173.6,161.9,11.7,57.52461322081576,71.73913043478261,4.249725949824142,4.37938768197683,2.087369809820353,2.1307291689293115
86,168529,1324,1253,71.0,533,31.0,13.476751795690324,17.725915492957746,89.1,85.9,3.2,42.53790901835595,43.66197183098591,3.1563918118577337,2.463171611549891,1.658276302290119,1.3005171452981443
87,168683,1302,1192,110.0,367,43.0,12.20671140939598,14.962454545454548,28.5,27.5,1.0,30.788590604026844,39.09090909090909,2.522267429074113,2.612600023088093,1.334721248760759,1.3854862716627347
88,168749,1,1,0.0,0,0.0,7.1,0.0,150.9,128.4,22.5,0.0,0.0,0.0,0.0,0.0,0.0
89,168913,1274,1204,70.0,389,28.0,12.666910299003316,14.396571428571427,177.1,167.8,9.3,32.308970099667775,40.0,2.550659106049719,2.7784393109470513,1.3508700965590232,1.4742747280508803
90,169961,580,563,17.0,320,12.0,17.65094138543519,29.00882352941177,204.1,189.4,14.7,56.838365896980456,70.58823529411765,3.2201322669328603,2.4333367129676566,1.687119948255754,1.2829359670160023
91,170460,2649,2481,168.0,822,53.0,12.894715840386946,19.46392857142858,32.625,31.625,1.0,33.13180169286578,31.547619047619047,2.569409214051479,1.620824846939087,1.3614366777310785,0.696728195663979
92,170503,942,867,75.0,217,17.0,12.948119953863884,17.516533333333335,77.8,71.1,6.7,25.02883506343714,22.666666666666664,1.9330092053996006,1.2940155586341282,0.9508485079851191,0.37185496372095916
93,170611,1562,1464,98.0,523,36.0,19.134241803278684,21.207857142857137,165.3,158.2,7.1,35.724043715846996,36.734693877551024,1.8670216506684691,1.7321266184558097,0.9007386576824458,0.7925443949269151
94,171784,2044,1921,123.0,629,54.0,11.6056741280583,17.129349593495938,203.7,191.2,12.5,32.743362831858406,43.90243902439025,2.8213236448451418,2.5629950970853046,1.496372172492408,1.3578307188099499
95,171890,227,212,15.0,49,3.0,11.966320754716993,16.334000000000003,77.8,74.1,3.7,23.11320754716981,20.0,1.9315216448680634,1.2244398187829066,0.949737844677713,0.29212186718314953
96,174116,1783,1649,134.0,581,49.0,14.795087932080062,19.123805970149252,120.0,111.5,8.5,35.233474833232265,36.56716417910448,2.381430579863998,1.9121279642861326,1.2518284938853572,0.9351790752347101
97,174661,241,233,8.0,28,0.0,16.936609442060085,28.3125,68.9,63.8,5.1,12.017167381974248,0.0,0.7095379640821746,0.0,-0.49504821662296056,0.0
